time,temperature_2m_min,temperature_2m_max,precipitation_sum
2021-01-01,-2.0,0.0,3.2
2021-01-02,-1.0,0.6,3.1
2021-01-03,-1.8,0.2,1.0
2021-01-04,-1.6,0.3,2.7
2021-01-05,-3.6,-0.9,0.0
2021-01-06,-5.0,-3.8,0.0
2021-01-07,-6.6,-5.1,3.7
2021-01-08,-6.2,-3.9,0.4
2021-01-09,-6.5,-5.3,1.8
2021-01-10,-12.3,-5.8,1.4
2021-01-11,-13.9,-9.8,0.6
2021-01-12,-15.1,-11.2,0.5
2021-01-13,-13.4,-9.8,0.9
2021-01-14,-17.1,-13.1,8.1
2021-01-15,-20.8,-17.4,0.0
2021-01-16,-17.8,-16.0,9.0
2021-01-17,-24.7,-17.2,0.1
2021-01-18,-27.7,-19.1,0.0
2021-01-19,-20.9,-13.8,0.4
2021-01-20,-14.9,-8.9,0.2
2021-01-21,-17.1,-10.9,2.5
2021-01-22,-12.2,-1.2,0.8
2021-01-23,-1.9,1.2,0.2
2021-01-24,0.0,2.7,0.2
2021-01-25,-0.5,3.0,0.3
2021-01-26,-0.4,1.0,1.1
2021-01-27,-2.9,1.1,0.4
2021-01-28,-6.9,0.3,4.5
2021-01-29,-2.1,0.6,3.3
2021-01-30,-5.0,-2.5,0.9
2021-01-31,-4.9,-3.9,3.1
2021-02-01,-7.4,-2.6,0.0
2021-02-02,-11.9,-5.9,0.0
2021-02-03,-11.2,-3.3,1.2
2021-02-04,-6.4,-2.0,5.0
2021-02-05,-13.0,-6.6,2.2
2021-02-06,-18.8,-13.6,0.0
2021-02-07,-19.5,-10.3,0.2
2021-02-08,-21.9,-13.7,0.0
2021-02-09,-23.0,-13.7,2.9
2021-02-10,-16.8,-12.5,1.9
2021-02-11,-18.1,-13.4,0.4
2021-02-12,-15.8,-14.6,10.7
2021-02-13,-15.9,-14.2,13.6
2021-02-14,-16.4,-11.6,1.5
2021-02-15,-22.9,-16.0,0.0
2021-02-16,-25.8,-13.0,1.6
2021-02-17,-14.0,-10.4,1.8
2021-02-18,-19.1,-13.2,0.0
2021-02-19,-20.2,-12.7,0.0
2021-02-20,-21.1,-11.6,0.2
2021-02-21,-14.9,-7.6,3.8
2021-02-22,-21.0,-9.6,1.0
2021-02-23,-26.6,-21.4,0.0
2021-02-24,-22.0,-13.2,2.4
2021-02-25,-12.7,3.1,5.7
2021-02-26,2.4,5.2,1.1
2021-02-27,-4.0,2.4,0.6
2021-02-28,-4.6,0.8,0.1
2021-03-01,-6.1,2.2,0.0
2021-03-02,-1.2,3.0,0.2
2021-03-03,-4.5,2.0,0.0
2021-03-04,-4.4,1.5,2.5
2021-03-05,-10.8,-2.4,0.1
2021-03-06,-13.9,-4.8,0.0
2021-03-07,-10.9,-1.8,6.8
2021-03-08,-9.7,-5.4,1.0
2021-03-09,-16.6,-10.9,0.0
2021-03-10,-23.1,-14.1,0.0
2021-03-11,-24.9,-9.8,0.0
2021-03-12,-18.6,-7.3,0.4
2021-03-13,-7.9,-2.8,3.7
2021-03-14,-2.5,2.3,2.1
2021-03-15,-1.5,2.4,3.0
2021-03-16,-3.4,1.1,2.2
2021-03-17,-2.8,1.2,0.0
2021-03-18,-2.4,2.6,0.8
2021-03-19,-5.6,1.2,0.3
2021-03-20,-7.6,-0.8,0.2
2021-03-21,-8.2,0.5,0.6
2021-03-22,-5.7,1.6,0.4
2021-03-23,-6.7,-0.1,0.1
2021-03-24,-10.1,3.4,0.0
2021-03-25,-4.5,5.5,0.0
2021-03-26,-3.6,5.7,0.1
2021-03-27,-3.6,5.7,0.0
2021-03-28,-5.3,5.4,0.0
2021-03-29,-5.5,4.1,0.0
2021-03-30,-3.2,4.6,3.6
2021-03-31,1.7,5.0,4.6
2021-04-01,1.5,7.3,6.1
2021-04-02,-1.6,5.2,8.3
2021-04-03,-5.0,5.9,0.2
2021-04-04,-6.1,6.4,0.1
2021-04-05,-1.8,7.7,0.0
2021-04-06,1.0,11.2,0.0
2021-04-07,0.4,11.0,3.5
2021-04-08,-0.7,4.5,11.4
2021-04-09,-2.0,8.5,0.2
2021-04-10,-1.1,11.1,0.0
2021-04-11,1.3,16.2,0.0
2021-04-12,1.1,14.4,0.0
2021-04-13,7.3,21.4,0.0
2021-04-14,8.4,20.7,0.0
2021-04-15,6.1,20.2,0.0
2021-04-16,6.6,16.9,0.1
2021-04-17,6.4,17.6,0.0
2021-04-18,5.2,14.0,0.6
2021-04-19,6.0,13.3,0.0
2021-04-20,2.7,9.1,4.9
2021-04-21,1.5,7.0,7.2
2021-04-22,3.1,14.3,2.2
2021-04-23,5.9,14.4,5.9
2021-04-24,2.2,5.5,11.2
2021-04-25,1.0,7.3,0.4
2021-04-26,0.1,8.2,0.2
2021-04-27,1.7,3.9,9.6
2021-04-28,0.8,9.0,1.4
2021-04-29,1.3,10.5,0.0
2021-04-30,4.1,14.9,3.6
2021-05-01,5.1,12.3,0.4
2021-05-02,3.1,13.3,0.0
2021-05-03,6.7,18.3,11.5
2021-05-04,3.8,6.9,1.7
2021-05-05,3.5,13.5,1.2
2021-05-06,7.3,15.3,3.4
2021-05-07,4.1,13.9,0.2
2021-05-08,7.1,9.9,24.9
2021-05-09,4.7,9.2,4.0
2021-05-10,2.7,15.4,0.0
2021-05-11,3.7,20.9,0.0
2021-05-12,8.6,23.4,1.0
2021-05-13,7.2,18.9,0.1
2021-05-14,7.5,22.4,0.7
2021-05-15,13.4,22.8,0.8
2021-05-16,11.5,23.1,1.9
2021-05-17,10.1,28.2,0.0
2021-05-18,16.0,29.0,0.0
2021-05-19,16.0,24.1,0.5
2021-05-20,12.5,19.9,0.8
2021-05-21,12.1,16.4,0.4
2021-05-22,6.1,20.1,0.1
2021-05-23,10.1,22.3,0.0
2021-05-24,9.2,20.0,0.0
2021-05-25,8.3,20.3,0.0
2021-05-26,9.2,23.6,0.5
2021-05-27,14.7,20.3,11.3
2021-05-28,14.1,22.0,1.2
2021-05-29,11.4,19.0,14.1
2021-05-30,8.2,13.9,0.0
2021-05-31,6.2,12.9,0.0
2021-06-01,5.0,17.1,0.0
2021-06-02,7.1,19.4,0.0
2021-06-03,8.8,21.5,0.0
2021-06-04,10.6,22.4,0.0
2021-06-05,10.5,23.0,0.0
2021-06-06,11.4,24.0,1.2
2021-06-07,12.4,22.7,2.3
2021-06-08,12.2,21.9,5.6
2021-06-09,13.9,19.7,5.6
2021-06-10,13.5,17.0,8.3
2021-06-11,12.3,18.8,11.2
2021-06-12,14.2,21.4,1.7
2021-06-13,12.6,23.4,3.6
2021-06-14,13.1,25.8,3.0
2021-06-15,14.6,25.1,0.2
2021-06-16,14.8,23.2,0.1
2021-06-17,11.0,24.2,0.0
2021-06-18,13.5,25.3,0.0
2021-06-19,14.1,27.7,0.0
2021-06-20,15.0,29.3,0.0
2021-06-21,17.7,30.4,0.0
2021-06-22,17.3,32.5,0.0
2021-06-23,19.6,33.4,0.0
2021-06-24,19.5,33.2,0.0
2021-06-25,21.5,32.3,0.9
2021-06-26,19.0,32.2,0.0
2021-06-27,20.6,31.9,0.9
2021-06-28,19.5,30.1,7.1
2021-06-29,16.8,22.7,1.6
2021-06-30,14.5,22.4,1.1
2021-07-01,17.0,23.1,4.2
2021-07-02,16.3,22.2,1.1
2021-07-03,14.5,21.6,0.0
2021-07-04,15.1,22.3,0.2
2021-07-05,15.1,25.4,0.0
2021-07-06,14.8,27.1,0.0
2021-07-07,13.5,28.0,0.0
2021-07-08,15.0,29.6,0.0
2021-07-09,17.0,31.4,0.0
2021-07-10,19.3,32.5,0.1
2021-07-11,20.6,31.3,0.0
2021-07-12,17.8,30.9,0.0
2021-07-13,17.6,32.0,0.0
2021-07-14,19.8,33.1,0.0
2021-07-15,19.3,31.8,0.3
2021-07-16,19.5,31.9,0.0
2021-07-17,20.4,30.6,1.8
2021-07-18,18.8,30.2,0.1
2021-07-19,19.4,29.2,0.0
2021-07-20,18.5,26.1,0.0
2021-07-21,14.8,24.4,0.0
2021-07-22,13.6,22.3,0.0
2021-07-23,13.2,21.5,1.1
2021-07-24,12.5,21.2,0.5
2021-07-25,11.6,23.3,0.3
2021-07-26,13.9,26.1,0.0
2021-07-27,14.0,28.2,0.0
2021-07-28,15.4,24.4,6.2
2021-07-29,17.8,25.3,7.2
2021-07-30,17.7,23.9,9.9
2021-07-31,16.7,25.3,0.2
2021-08-01,13.9,24.7,3.0
2021-08-02,17.0,29.1,2.6
2021-08-03,16.1,22.9,0.2
2021-08-04,13.0,22.4,0.0
2021-08-05,11.6,23.2,0.2
2021-08-06,15.0,23.3,4.1
2021-08-07,16.8,28.0,1.8
2021-08-08,18.0,25.3,2.0
2021-08-09,16.3,28.1,0.0
2021-08-10,18.2,27.9,9.5
2021-08-11,19.3,22.7,22.5
2021-08-12,17.5,22.8,20.9
2021-08-13,14.9,21.9,0.2
2021-08-14,12.7,24.0,0.3
2021-08-15,13.6,25.5,0.0
2021-08-16,15.2,27.5,0.2
2021-08-17,16.8,28.9,0.0
2021-08-18,17.5,28.7,0.9
2021-08-19,17.2,23.8,1.6
2021-08-20,13.7,24.6,0.0
2021-08-21,16.5,19.5,6.6
2021-08-22,13.8,20.3,0.5
2021-08-23,10.9,19.8,0.0
2021-08-24,9.7,19.3,0.1
2021-08-25,7.2,18.2,0.0
2021-08-26,13.4,21.0,2.7
2021-08-27,15.1,22.4,3.4
2021-08-28,13.6,20.7,0.0
2021-08-29,13.3,22.9,0.1
2021-08-30,14.8,24.3,6.0
2021-08-31,16.1,25.7,0.3
2021-09-01,13.6,19.3,13.7
2021-09-02,8.7,15.0,0.2
2021-09-03,5.4,12.6,5.8
2021-09-04,5.8,11.7,2.5
2021-09-05,4.4,10.4,1.1
2021-09-06,3.5,11.9,0.1
2021-09-07,5.5,13.3,1.8
2021-09-08,10.7,14.6,1.2
2021-09-09,13.0,18.3,0.8
2021-09-10,13.0,19.8,0.8
2021-09-11,10.0,18.3,0.0
2021-09-12,13.8,21.2,0.1
2021-09-13,14.1,22.4,0.0
2021-09-14,10.4,15.4,0.0
2021-09-15,7.3,12.5,0.0
2021-09-16,4.5,9.6,0.1
2021-09-17,4.5,8.4,0.2
2021-09-18,1.2,10.9,0.0
2021-09-19,4.5,9.1,3.5
2021-09-20,4.9,7.0,13.2
