time,temperature_2m_min,temperature_2m_max,precipitation_sum
2024-01-01,-18.9,-12.8,0.0
2024-01-02,-24.4,-18.9,0.0
2024-01-03,-28.5,-24.7,0.0
2024-01-04,-29.7,-24.7,0.0
2024-01-05,-27.7,-20.2,0.0
2024-01-06,-23.3,-15.9,2.2
2024-01-07,-28.2,-22.5,0.0
2024-01-08,-28.6,-11.2,0.7
2024-01-09,-10.6,-4.4,3.1
2024-01-10,-12.0,-1.0,2.7
2024-01-11,-12.4,0.3,6.5
2024-01-12,-23.1,-11.5,0.5
2024-01-13,-30.9,-22.9,0.0
2024-01-14,-27.9,-7.6,0.4
2024-01-15,-7.1,-1.6,1.8
2024-01-16,-4.8,-1.8,2.3
2024-01-17,-15.4,-4.8,0.4
2024-01-18,-20.9,-4.6,9.2
2024-01-19,-12.6,0.3,2.3
2024-01-20,-14.4,-4.9,0.0
2024-01-21,-17.2,-11.6,0.0
2024-01-22,-12.9,-8.4,0.0
2024-01-23,-9.0,-3.0,2.1
2024-01-24,-3.4,0.4,0.4
2024-01-25,-2.5,-0.2,4.0
2024-01-26,-5.9,-2.5,2.8
2024-01-27,-8.6,-4.9,1.0
2024-01-28,-15.3,-3.6,0.1
2024-01-29,-14.8,-2.1,0.0
2024-01-30,-5.1,1.0,0.0
2024-01-31,-9.5,-1.1,0.0
2024-02-01,-2.8,1.5,2.0
2024-02-02,-4.8,-0.7,2.3
2024-02-03,-10.1,-2.1,0.4
2024-02-04,-2.8,1.0,4.8
2024-02-05,-8.3,-1.9,0.0
2024-02-06,-11.7,-3.3,0.2
2024-02-07,-16.0,-6.1,7.0
2024-02-08,-17.9,-8.8,0.8
2024-02-09,-19.6,-10.4,0.0
2024-02-10,-23.8,-17.0,0.0
2024-02-11,-18.8,-6.8,0.0
2024-02-12,-6.5,-1.6,4.1
2024-02-13,-12.1,-2.9,0.0
2024-02-14,-15.5,-9.4,0.0
2024-02-15,-13.0,-10.2,11.3
2024-02-16,-10.4,-8.2,2.2
2024-02-17,-9.1,-1.4,0.0
2024-02-18,-4.9,0.5,5.5
2024-02-19,-9.4,-5.4,0.0
2024-02-20,-10.5,-7.0,0.0
2024-02-21,-11.7,-4.2,0.0
2024-02-22,-5.3,-2.1,0.0
2024-02-23,-2.8,1.4,1.4
2024-02-24,-1.5,1.3,1.1
2024-02-25,-1.5,1.0,1.5
2024-02-26,-6.3,-1.1,0.0
2024-02-27,-7.1,1.0,0.0
2024-02-28,-7.6,1.9,0.0
2024-02-29,-4.4,1.9,0.1
2024-03-01,-2.2,1.2,0.0
2024-03-02,-7.2,0.2,0.0
2024-03-03,-10.9,1.5,0.0
2024-03-04,-12.3,0.6,0.0
2024-03-05,-11.1,0.2,0.0
2024-03-06,-14.3,-2.3,0.0
2024-03-07,-16.7,1.6,0.0
2024-03-08,-9.4,-0.3,0.3
2024-03-09,-12.6,-2.9,0.0
2024-03-10,-14.8,-3.7,0.0
2024-03-11,-14.7,1.5,0.1
2024-03-12,-8.8,2.1,0.0
2024-03-13,-11.6,1.7,0.0
2024-03-14,-9.9,2.9,0.0
2024-03-15,-6.0,3.5,0.0
2024-03-16,-3.4,4.4,0.0
2024-03-17,-5.7,3.8,0.0
2024-03-18,-2.2,3.5,0.0
2024-03-19,-1.9,2.6,0.0
2024-03-20,-7.7,3.0,0.0
2024-03-21,-7.8,3.4,0.0
2024-03-22,-9.5,4.6,0.0
2024-03-23,1.6,3.8,4.2
2024-03-24,-1.5,4.6,2.5
2024-03-25,-3.7,4.4,0.0
2024-03-26,-5.8,3.9,0.0
